date,title
1986-05-04,Chernobyl Disaster Accelerates Oil Prices  Crude Oil Futures At 9Week High  Oil Sands Workers Are Pulling Up Stakes 
1986-05-05,Farm Scene Lower Oil Prices May Cause Future Shocks  Texaco Cuts Costs 
1986-05-06,Oil Price Drop May Cause Future Shock 
1986-05-07,Cheap Crude May Force Rise In Oil Imports  East May Use Foreign Oil Again  What Cheap Oil Really Costs 
1986-05-08,Low Cost Foreign Oil May Beat Out Alberta Crude  Oil Prices Move Above 15 A Barrel 
1986-05-09,Us May Ban Products Made With Libyan Oil  Us Moves To Ban Libyan Oil Products 
1986-05-10,Short Supplies Rising Demand For Gasoline Drive Up Prices 
1986-05-11,Drop In World Oil Prices Could Cause Problems  Low Oil Prices Spur Growth  Us Gasoline Price Rise Seen For Summ 
1986-05-12,Gas Prices Increasing At Pump  Gasoline Prices Take Unprecedented Climb By Jerry Buck  Summer Gasoline Prices Seen Down By 28 Cents 
1986-05-13,Expect Summer Gas Prices To Be 280 Less Than In 85  Prices For Gasoline This Summer Are Likely To Be Lowest In  Report Summer Gas Prices Lowest Since 79 
1986-05-14,Inflation To Tall Output Grow In 87 
1986-05-15,Increasing Crude Hurts Oil Futures  Minister Defends Cleanup Procedure For Northern Oil Spill 
1986-05-16,Wholesale Prices Dip Again 
1986-05-17,Memorial Day Preparations Push Fuel Prices Beyond 16 Barrier
1986-05-18,Oil Futures Close Above 16 
1986-05-20,Demand For Gasoline Lifts Us Crude To 3Month High  Iran Reduces Oil Shipments  North Sea Oil Prices Up  Prices Of Oil Futures Top 17 A Barrel 
1986-05-21,Drivers Will Enjoy Low Gas Prices  Gas Prices At Pump Are Down 28 Cents  Oil Prices Drop Below 16 A Barrel  Oil Prices Fall To 16 A Barrel In Heavy Trading  Oil Prices Tumble Over 1 A Barrel Quick Drop Wipes Lout  Sharp Plunge In Oil Prices Halts Rally  Volatile Trading Drops Oil Prices To 16 A Barrel 
1986-05-22,Crude Oil Futures Prices Drop Below  Lower Oil Prices Help Some Firms Not Others  Taxes Values Confidence Fall With Oil Prices 
1986-05-24,The Oil Outlook Low Prices Could Undermine Nations Energy 
1986-05-25,Experts Predict Grim Future For Oil  Headed For A New Energy Shock Lower Prices Spur Fears  Lower Oil Prices Raise Fears Of Future Energy Shock  Oil Price Drop There Could Be Trouble Ahead  Will Low Oil Prices Spur Fuel Shock Some Analysts Fear 
1986-05-26,Gas Prices Up Some As Market Follows Tradition 
1986-05-27,New York Oil Price Gains May Be Temporary  Saudi Minister Expects Sharply Rising Oil Prices  Saudi Minister Predicts OilPrice Rise Energy Crisis  Saudi Oil Minister Predicts Price Rise  Saudi Oil Minister Warns Of Enerqv Crisis  Sharp Rise In Oil Prices Expected  Sheik Predicts Oil Crisis Will Hit Within Few Years  Yamani Predicts OilPrice Jump Crisis In Energy 
1986-05-28,Southland Corps decision to sell 50 percent of Citgo
1986-05-29,Few Companies Benefit From Plunge In Oil Costs 
1986-05-30,Albertas Crude Oil Reserves Increase Slightly  Crude Oil Prices Fall  Slight Change Reported In Oil Gas Reserves  Will Lower Oil Prices Now Mean Problems Later 
1986-05-31,Cheap Oil May Bode Ill For Domestic Production 
1986-06-01,Despite Glut A Barrel Of Oil Is Rare By Ken Herman 
1986-06-03,Oil Companies To Pay 25 Million  Oil Glut May Help Us Fight Libyan Sales 
1986-06-04,Warning Sounded Of Possible Future Energy Shocks 
1986-06-05,Bulging Oil Stocks Uiup Energy Futures  Japan Changing Oil Market Attitude  Price Of Crude Oil Dips Briefly Below 13 Us 
1986-06-07,Oil Drops Below 13 A Barrel For First Time In Six Weeks 
1986-06-12,Crude Oil Recovery Helps Toronto Gain  Oil Prices Rebound Despite Predictions  Oil Prices Spurt Unexpectedly  Plunge In Oil Prices Battering Some Debtor Nations 
1986-06-14,Energy Futures In Slump 
1986-06-15,A Crude Problem Buying A Barrel Of Oi A Bargain Is A  Charles Osgood A Crude Problem Buying A Barrel Of Oil A 
1986-06-17,Energy Futures Hurt By Opec New  Talk Of Surplus Oil Sinks Energy Prices 
1986-06-18,Diamond Shamrock Finds Oil Pool 
1986-06-19,Prices Of Gasoline Futures Still Falling 
1986-06-23,Little Hope Seen For Opec Agreement  New Opec Talks Set But Analysts Gloomy  Oil Price Slump Robs Third World Of 70bn 
1986-06-25,Opec Discord Sinks Oil Futures Prices 
1986-06-27,No Panic Over Wider Trade Gap City Av Comment Kowski Martin
1986-06-28,Oil Price Slump Has An Impact On California 
1986-06-29,Oil Futures Market Taking On Added Importance  Opec Ministers Near Agreement 
1986-06-30,Oil Prices May Trigger Energy Shock 
1986-07-01,Agree Strategy Presse In Tin Oil Ant Mil Its Output For  Crude Oil Prices Slide  Forecast Continued Opec Disarray Longer Oil Slump  More Disarray In Opec Longer Oil Slump Seen  Opec Calls It Quits Again Gasoline Prices May Drop  Opec Fails To Pass Plan  Opec Failure May Lower Prices  Opec Leaders Go Home Without Production Pact  Opec Meeting Ends Without Agreements  Opec Talks End In Failure Oil Ministers Cant Agree On New  Production Keeps Oil Prices Below Opecs Expectations 
1986-07-02,Brings Hope For Oil Exports 
1986-07-07,Gasoline Hits Lowest Price In Seven Years  Moves Planned To Stop Oil Buys 
1986-07-08,Dollar Joins Dow In Dramatic Drop  Oil Prices Plunge On World Market  World Oil Prices Fall Sharply 
1986-07-09,14Billion Oil Settlement Reached 
1986-07-10,Oil Futures Rise In Troubled Industry  Opec Boosts Oil Production In Power Play 
1986-07-11,Oil Companies Lower Price They Will Pay For Crude  Oil Slick Off Galveston No Threat To Beaches  World Digest CrudeOil Prices Reported At Lowest Levels In 
1986-07-12,Companies Cut Price Paid For Crude Oil  Oil Firms Cut Crude Prices  Producer Prices Hold After Sharp Dip  Signals On GasolinePrice Trends Are Mixed  Us Majors Cut Crude Price 
1986-07-13,4 Oil Companies Cut Price Of Major American Grade 
1986-07-14,Gas Price Drop Bucks Trend  Gas Prices Continue Slide During Summer  Gasoline Price Down 296 Cents This Year  Gasoline Prices Continue Rare Summertime Slide  Oil Price Drops  Price Of Gas Keeps Falling  Price Of Gasoline Continues Falling  The Increase Is An Effort To Try To Bolster The Mexican Economy
1986-07-15,As Opec Production Swells Global Surplus North Sea Oil  Big Oil Pushes Gas Groceries  Energy Futures Surge In Record Trading  North Sea Oil Dips To 9 Per Barrel  North Sea Oil Price Hits A Barrel  Oil Prices Fall Further Decline Seen Bv Lee A Daniels  Oil Prices Tumbling To Record Lows  Price Of Gasoline Keeps Falling Experts Say Trend Will 
1986-07-16,Downward Spiral For Oil Prices Will Go On  Energy Futures Shoot Up  Heaper Oil Will Benefit Consumers 
1986-07-17,Gas Prices To Rise Experts Predict  Oil Firms Struggling For Survival  Oil Imports Up Highest Since February 81 
1986-07-18,Petrol Price Drop Swallowed Up By Increased Costs 
1986-07-19,Hot Weather Scare Stirs Grain Markets 
1986-07-20,Oil Prices Rise Moderately  Prices Rebound Despite Oil Glut 
1986-07-21,Oil Posts Moderate Gains 
1986-07-22,Cost Of Heating Oil Predicted To Stay Low  Decision Deferred On Oil Parity Price  Lower Gasoline Prices Are Good News For Most Canadians But  Oil Price Increase Linked To Demand  Oil Prices Are Still On Rebound Despite Cutback  Oil Prices Rebound Despite The Glut  Saudi Arabia Kuwait Spearhead Drive To Shore Up Oil Price Speculation Over Opec Triaaers Rise In Oil Prices 
1986-07-23,Dropping Oil Prices May Claim 142000 Jobs  Heating Oil Prices Likely To Drop Again  Imperial Oils Profit Plunges  Low Oil Prices Cost Cuts Reduce Earnings  Lowest Heating Bills In Years Likely Due To Drop In Oil Prices  Oil Industry To Lose Jobs  Oil Prices Nosedive  Small Producers Driven From Oil Patch By Low Prices 
1986-07-24,Winter Heat Cost May Warm Hearts 
1986-07-25,Local Gasoline Prices Falling Again Dip Below 60 Cents At  Political Hopeful Accuses Oil Companies Of Gouging  Standard Oil Reports Quarterly Loss 
1986-07-26,Gas Prices Fall In July 
1986-07-28,Opec Mfmsftrs Facing Crisis 
1986-07-29,Opec Cuts Oil Production 
1986-07-30,Low Prices Will Halt Onshore Oil Exploration Warn Oilmen 
1986-07-31,Another Energy Crisis Called Inevitable  Taxes Keep Gasoline Prices High 
1986-08-01,Petroleum Firms Expect Big Cuts 
1986-08-04,Bass Crude Exports Resume 
1986-08-05,Action May Hike Gas Prices  Crude Oil Prices Jump As Opec Nations Reach Accord On Cuts Follows Lead Mexico Plans Export Cuts On Crude Oil  French Oil Cos Halt Purchase Of Libyan Crude  Opec Accord Creates Sharp Boost In Prices  Opec Action Could Mean Higher Prices For Gasoline  Opec Nations Accept Quota Oil Prices Rise  Opecs Decision Gives Boost To Oil Prices 
1986-08-06,Crude Oil Prices Soar After Announcement Opec Agrees To Cut  Crude Oil Prices Soar Us Gas Prices Pushed Up  Fall Oil Futures Jump In Heavy Trading  Follows Try Lead Mexico Plans Export Cuts On Crude Oil  Fuel Cost Changes At Present Uncertain  Inventory Report Drops Oil Prices  Oil And Gas Prices Increase Sharply Trading Is Volatile  Oil Cut Nut Could Help Us Nroducers  Oil Drops But Pump Rise Likely  Oil Price Surge Follows Opecs Surprise Treaty  Oil Prices Soaring But Some Analysts Doubt Opecs  Opec Action Could Push Gas Prices Up Opec Agrees To Curb  Opec Casts Lifeline To Us Oil Administration Oil Prices  Opec Cutback Boosts Pound Shares And Oil  Opec Moves To Pump Up Gas Prices  Opec Oil Output Limits Shouldnt Hurt Us  Opec OilProduction Cut Shouldnt Hurt Us Economy  Reagan Orders More Crude For Reserve  Some Predict Rise In Price Of Gasoline  The Blade Toledo Ohio Oil Prices Rise As Opec Agrees To Cuts
1986-08-07,As Us Inventories Show Unexpected Reserves Oil Prices  Big Us Crude Stock Halts Oil Price Rise  Exports Of Bass Strait Oil Resume  Gasoline Prices Should Remain Low For A While  Industry Leaders Differ On Oil Price  Oil Companies Increase Payout On Crude  Oil Prices Decline After OneDay Rise  Oil Prices Dip As Report Unexpectedly High Inventories  Oil Prices Retreat In World Market  Oil Reserves Need Filling  President Endorses Stockpiling Crude Oil To 750 Million Barrels Reagan Wants Us To Build Oil Stockpiles  Us Oil Inventory Report Restrains Prices 
1986-08-08,Canadian Oil Prices Dont Need To Increase This Year  Opec Price Truce Is Shaky  Shocked By Oil Price Slump  Sudden Rise In Spot Oil Prices Worries Refiners 
1986-08-09,No Gas Price Hike Needed This Year  Oil Award Becomes State Aid For Needy  Oil Prices Too High To Justify  Prepare To Pay Gas Prices To Go Upward 
1986-08-11,Saudi Oil Output Still High  Unleaded Gas Priced Too High Analysts 
1986-08-12,Coal Company Executive Sees No Major Opec Action Gains  Two More Oil Firms Hike Price Of Gas 
1986-08-13,Ashland Oil Accuses ExOfficial Of Personal Vendetta On Firm  Independents Gasoline Cost Ui  MidYear Results Paint Dismal Picture For Oil  Var News Sends Oil Futures Higher 
1986-08-14,Panhandle White Oil Producers Lose Court Appeal  World Oil Prices SeeSaw Nigeria Cuts Production 
1986-08-16,Price Wars Possible In Gasoline Market  Shedding Light On Heavy Oil What Is Heavy Oil 
1986-08-17,Gas Watcher Sees War At The Pump  Gasoline Prices Might Be Trimmed 
1986-08-18,Analyst Fears Results Of New Gas Wars  Fuel Prices May Fall  Gas Price Wars Loom In Says Analyst  Gasoline Price Cuts Forecast  Nation World Analyst Says Oil Price Wars Coming  Oil Analyst Says Gasoline Price Wars Loom  Price War Erupts In Oil Industry  Undeclared Price War May Mean Further Drop In Price Of Gasoline Undeclared Price War Sets Stage For Gasoline Price Drop  Undeclared Price War To Assist Gas Price Drop 
1986-08-19,Energy Financial Sectors Draw Foreign Investors  Gasoline Dealers Face Company Competition The Companies Are  Soviets Expected To Hike Oil Exports Report Says 
1986-08-21,Rices Am Of Gasoline Futures Advance  Shell Follows Suit Raises Its Buying Price For Crude  Us Analysts Predict ThreePerCent Inflation Increase 
1986-08-22,Large Oil Refiners Boost Price For Crude To 21  Oil Refiners Offer More For Crude  Refiners Increase Price Theyll Pay 
1986-08-23,A Dream Final Pullout May End Search For Northern Oil  Raises Price Of Tapis Crude  Underweight On Integrated Oil Stocks 
1986-08-24,Refineries An Oil Bright Spot 
1986-08-27,Gulf States Ponder Ways To Meet Iranian Threat  Norway May Support Opec Move To Boost Oil Prices 
1986-08-28,Art Buchwald Millionaire Hasbeens  Oil Futures Mixed  Us Boosting Oil Reserves 
1986-08-29,Oil Imports With Little Notice Us Slides Into Trouble 
1986-09-01,Oman Will Reduce Its Oil Production 
1986-09-02,Heating Oil Prices May Remain Low  New York Analysts Heating Oil To Remain A Bargain 
1986-09-03,Price Of Oil Increases 
1986-09-04,Oil Retailing Sectors Push Stocks Higher  Oil Slump Has Already Cost About 50000 Jobs  Opec Solidarity Lifts Oil Futures 
1986-09-05,Oil Industry Calls For Tax Changes  Share Prices Rise To Record In 
1986-09-06,Model Predicts Very Large Increase In Us Oil Imports  Model Sees Hefty Rise In Oil Imports  Prices Likely To Remain Low This Winter In Us 
1986-09-07,Heating Oil Prices At A SixYear Low 
1986-09-08,Energy Department To Buy Oil For Strategic Reserve  Gasoline Price Climb Slows 
1986-09-09,Energy Chief Says Oil Too High To Buy  Ottawa Scraps Wellhead Tax On Oil And Gas  Price Rules Out Oil Purchases 
1986-09-10,Crude Oil May Be In For Price Slide Say Analysts  Saudi Arabia Exceeding Output Limits For Crude Oil Traders Say
1986-09-11,200000 Gallons Of Crude Spihed In River  Big Oil Spill  Heating Costs Seen Staying Low  Major Spill Hits Delaware River  Oil Futures Drop  Oil Futures Fall Under Heavy Pressure  Oil Spill Fouls Delaware River  Oil Use Increase Seen  Tanker Spills Crude Oil Into River 
1986-09-12,Crews Clean Up Delaware River Spill  Crews Work To Contain Major Oil Spill On Delaware River  Paying Too Much For Natural Gas  Ultramar To Buy Alberta Crude 
1986-09-14,All Oil Producing Nations Must Limit Output To Stabilize  Everglades Oil Spill Larger Than Predicted  Everglades Oil Spill May Pass Estimates  Gasoline Competition Stiff Troubled Times For Dealers  Glades Oil Spill Said Horrendous  Insurance Norway To Support Opec With Token Future  Pill Is Everglades Nowhere Oil Inan Originally Reported 
1986-09-15,Egypt Increases Crude Oil Prices  ExChairman Of Ashland Oil Admits Scheme With Iran Fin 
1986-09-16,New Oil Extraction Tests Set  Rude Oil Falls Nearly 80 Cents A Barrel 
1986-09-17,Oil Industry Depression Called Severe  Purchases Drop Price Of Crude Oil  States Oil Purchasers Drop Price 
1986-09-18,Crude Prices Drop  Energy Futures Rise Despite Oil Surplus  Plunging Prices Push Oil Imports Up To 6Year High 
